executionLog | INFO flwr 2024-06-14 13:40:26,372 | app.py:178 | Starting Flower simulation, config: num_rounds=5, no round_timeout
executionLog | INFO flwr 2024-06-14 13:40:31,716 | app.py:213 | Flower VCE: Ray initialized with resources: {'memory': 6149082318.0, 'object_store_memory': 3074541158.0, 'node:127.0.0.1': 1.0, 'GPU': 1.0, 'CPU': 20.0, 'node:__internal_head__': 1.0}
executionLog | INFO flwr 2024-06-14 13:40:31,717 | app.py:219 | Optimize your simulation with Flower VCE: https://flower.ai/docs/framework/how-to-run-simulations.html
executionLog | INFO flwr 2024-06-14 13:40:31,718 | app.py:242 | Flower VCE: Resources for each Virtual Client: {'num_cpus': 2, 'num_gpus': 0.5}
executionLog | INFO flwr 2024-06-14 13:40:31,733 | app.py:288 | Flower VCE: Creating VirtualClientEngineActorPool with 2 actors
executionLog | INFO flwr 2024-06-14 13:40:31,734 | server.py:92 | [INIT]
executionLog | INFO flwr 2024-06-14 13:40:31,735 | server.py:279 | Requesting initial parameters from one random client
executionLog | INFO flwr 2024-06-14 13:40:35,681 | server.py:285 | Received initial parameters from one random client
executionLog | INFO flwr 2024-06-14 13:40:35,682 | server.py:94 | Evaluating initial global parameters
executionLog | INFO flwr 2024-06-14 13:41:44,284 | server.py:97 | initial parameters (loss, other metrics): 48677.202743291855, {'accuracy': 0.0098}
executionLog | INFO flwr 2024-06-14 13:41:44,285 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 13:41:44,285 | server.py:111 | [ROUND 1]
executionLog | INFO flwr 2024-06-14 13:41:44,286 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 13:54:58,939 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 13:55:00,086 | fedavg.py:252 | No fit_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 13:55:57,357 | server.py:129 | fit progress: (1, 21750.472576440778, {'accuracy': 0.4463}, 853.071944299998)
executionLog | INFO flwr 2024-06-14 13:55:57,361 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 14:02:23,272 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | WARNING flwr 2024-06-14 14:02:23,273 | fedavg.py:283 | No evaluate_metrics_aggregation_fn provided
executionLog | INFO flwr 2024-06-14 14:02:23,274 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 14:02:23,275 | server.py:111 | [ROUND 2]
executionLog | INFO flwr 2024-06-14 14:02:23,276 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 14:15:35,662 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 14:16:32,097 | server.py:129 | fit progress: (2, 16610.878663953208, {'accuracy': 0.5699}, 2087.811684799992)
executionLog | INFO flwr 2024-06-14 14:16:32,097 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 14:23:00,261 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 14:23:00,261 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 14:23:00,262 | server.py:111 | [ROUND 3]
executionLog | INFO flwr 2024-06-14 14:23:00,262 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 14:36:05,355 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 14:37:07,878 | server.py:129 | fit progress: (3, 16490.979146000132, {'accuracy': 0.6071}, 3323.5930664000043)
executionLog | INFO flwr 2024-06-14 14:37:07,879 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 14:43:24,625 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 14:43:24,626 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 14:43:24,626 | server.py:111 | [ROUND 4]
executionLog | INFO flwr 2024-06-14 14:43:24,627 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 14:56:29,755 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 14:57:29,337 | server.py:129 | fit progress: (4, 16362.034424762916, {'accuracy': 0.6227}, 4545.052495299984)
executionLog | INFO flwr 2024-06-14 14:57:29,337 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 15:03:46,957 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 15:03:46,959 | server.py:110 | 
executionLog | INFO flwr 2024-06-14 15:03:46,960 | server.py:111 | [ROUND 5]
executionLog | INFO flwr 2024-06-14 15:03:46,961 | server.py:224 | configure_fit: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 15:16:49,006 | server.py:238 | aggregate_fit: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 15:20:45,414 | server.py:129 | fit progress: (5, 16130.456864548813, {'accuracy': 0.6378}, 5941.129817799985)
executionLog | INFO flwr 2024-06-14 15:20:45,415 | server.py:176 | configure_evaluate: strategy sampled 10 clients (out of 10)
executionLog | INFO flwr 2024-06-14 15:27:12,352 | server.py:190 | aggregate_evaluate: received 10 results and 0 failures
executionLog | INFO flwr 2024-06-14 15:27:12,418 | server.py:487 | 
executionLog | INFO flwr 2024-06-14 15:27:12,420 | server.py:488 | [SUMMARY]
executionLog | INFO flwr 2024-06-14 15:27:12,422 | server.py:489 | Run finished 5 rounds in 6328.07s
executionLog | INFO flwr 2024-06-14 15:27:12,427 | server.py:492 | History (loss, distributed):
executionLog | INFO flwr 2024-06-14 15:27:12,428 | server.py:494 | 	('\tround 1: 21750.47257644078\n'
executionLog | INFO flwr 2024-06-14 15:27:12,429 | server.py:494 | 	 '\tround 2: 16610.878663953208\n'
executionLog | INFO flwr 2024-06-14 15:27:12,429 | server.py:494 | 	 '\tround 3: 16490.97914600013\n'
executionLog | INFO flwr 2024-06-14 15:27:12,430 | server.py:494 | 	 '\tround 4: 16362.034424762916\n'
executionLog | INFO flwr 2024-06-14 15:27:12,431 | server.py:494 | 	 '\tround 5: 16130.456864548809\n')History (loss, centralized):
